Time,Freq
47.2,+3.84010898895547E+007
47.3,+3.84010898828781E+007
47.4,+3.84010898838464E+007
47.5,+3.84010898832882E+007
47.6,+3.84010898769901E+007
47.7,+3.84010898792267E+007
47.8,+3.84010898834945E+007
47.9,+3.84010898935984E+007
48,+3.84010898901679E+007
48.1,+3.84010898879592E+007
48.2,+3.84010898869343E+007
48.3,+3.84010898858815E+007
48.4,+3.84010898830456E+007
48.5,+3.84010898799639E+007
48.6,+3.84010898805260E+007
48.7,+3.84010898881731E+007
48.8,+3.84010898757210E+007
48.9,+3.84010898767048E+007
49,+3.84010898777862E+007
49.1,+3.84010898753938E+007
49.2,+3.84010898704058E+007
49.3,+3.84010898655604E+007
49.4,+3.84010898772110E+007
49.5,+3.84010898709818E+007
49.6,+3.84010898691848E+007
49.7,+3.84010898758101E+007
49.8,+3.84010898736797E+007
49.9,+3.84010898748348E+007
50,+3.84010898743092E+007
50.1,+3.84010898705267E+007
50.2,+3.84010898686669E+007
50.3,+3.84010898672629E+007
50.4,+3.84010898629633E+007
50.5,+3.84010898464441E+007
50.6,+3.84010898542688E+007
50.7,+3.84010898631129E+007
50.8,+3.84010898542347E+007
50.9,+3.84010898536695E+007
51,+3.84010898457805E+007
51.1,+3.84010898426206E+007
51.2,+3.84010898489048E+007
51.3,+3.84010898477528E+007
51.4,+3.84010898464348E+007
51.5,+3.84010898409320E+007
51.6,+3.84010898338997E+007
51.7,+3.84010898360789E+007
51.8,+3.84010898354750E+007
51.9,+3.84010898473667E+007
52,+3.84010898424539E+007
52.1,+3.84010898469752E+007
52.2,+3.84010898544867E+007
52.3,+3.84010898544246E+007
52.4,+3.84010898494103E+007
52.5,+3.84010898447106E+007
52.6,+3.84010898382132E+007
52.7,+3.84010898222344E+007
52.8,+3.84010898397761E+007
52.9,+3.84010898426810E+007
53,+3.84010898480109E+007
53.1,+3.84010898395715E+007
53.2,+3.84010898324507E+007
